,name,handedness,height,weight,avg,HR,w_group
1134,Phil Niekro,Right,73,180,0.169,7,"(170, 180]"
255,Jimmy Stewart,Both,72,165,0.237,8,"(160, 170]"
764,Bob Meacham,Both,73,175,0.236,8,"(170, 180]"
569,Boots Day,Left,69,160,0.256,8,"(150, 160]"
755,Phil Mankowski,Left,72,180,0.264,8,"(170, 180]"
804,Steve Hovley,Left,70,188,0.258,8,"(180, 190]"
860,Merritt Ranew,Left,71,170,0.247,8,"(160, 170]"
945,Broderick Perkins,Left,70,180,0.271,8,"(170, 180]"
29,Pedro Gonzalez,Right,72,176,0.244,8,"(170, 180]"
148,Sal Butera,Right,72,190,0.227,8,"(180, 190]"
668,Domingo Ramos,Right,70,154,0.24,8,"(150, 160]"
770,Hal Lanier,Right,74,180,0.228,8,"(170, 180]"
788,Dick Tracewski,Right,71,160,0.213,8,"(150, 160]"
817,Jeff Torborg,Right,72,195,0.214,8,"(190, 200]"
921,Russ Gibson,Right,73,195,0.228,8,"(190, 200]"
1101,Ed Romero,Right,71,160,0.247,8,"(150, 160]"
1097,Wayne Tolleson,Both,69,160,0.241,9,"(150, 160]"
55,Jim Lyttle,Left,72,180,0.248,9,"(170, 180]"
59,Gene Locklear,Left,70,165,0.274,9,"(160, 170]"
139,Tim Flannery,Left,71,175,0.255,9,"(170, 180]"
308,Joe Keough,Left,72,185,0.246,9,"(180, 190]"
386,Joe Simpson,Left,75,175,0.242,9,"(170, 180]"
838,Rick Sofield,Left,73,195,0.243,9,"(190, 200]"
1119,Bill Sharp,Left,70,178,0.255,9,"(170, 180]"
26,Bobby Cox,Right,71,180,0.225,9,"(170, 180]"
75,Jack Heidemann,Right,72,175,0.211,9,"(170, 180]"
186,Rick Rhoden,Right,75,195,0.238,9,"(190, 200]"
235,Tim Cullen,Right,73,185,0.22,9,"(180, 190]"
363,Jim Pankovits,Right,70,170,0.25,9,"(160, 170]"
566,George Smith,Right,70,170,0.205,9,"(160, 170]"
822,Rick Auerbach,Right,72,165,0.22,9,"(160, 170]"
874,Bob Bailor,Right,71,170,0.264,9,"(160, 170]"
1009,Bob Barton,Right,72,175,0.226,9,"(170, 180]"
1027,Dave McNally,Right,71,185,0.133,9,"(180, 190]"
1130,Luis Melendez,Right,72,165,0.248,9,"(160, 170]"
98,Bruce Boisclair,Left,74,185,0.263,10,"(180, 190]"
1136,Tom Poquette,Left,70,175,0.268,10,"(170, 180]"
7,Dick Bertell,Right,72,200,0.25,10,"(190, 200]"
443,Bombo Rivera,Right,70,187,0.265,10,"(180, 190]"
452,Ted Cox,Right,75,195,0.245,10,"(190, 200]"
537,Paul Dade,Right,73,185,0.27,10,"(180, 190]"
540,Fred Stanley,Right,70,165,0.216,10,"(160, 170]"
570,Brian Giles,Right,73,165,0.228,10,"(160, 170]"
720,J.R. Richard,Right,80,222,0.168,10,"(220, 230]"
727,Dave Rosello,Right,71,160,0.236,10,"(150, 160]"
800,Carl Taylor,Right,74,200,0.266,10,"(190, 200]"
1094,Ron Davis,Right,72,175,0.233,10,"(170, 180]"
665,Larry Milbourne,Both,72,161,0.254,11,"(160, 170]"
136,Jeff Stone,Left,72,175,0.277,11,"(170, 180]"
165,Mike Phillips,Left,72,170,0.24,11,"(160, 170]"
428,Howie Goss,Right,76,204,0.216,11,"(200, 210]"
447,Rufino Linares,Right,72,170,0.27,11,"(160, 170]"
457,Al Gallagher,Right,72,180,0.263,11,"(170, 180]"
514,Barbaro Garbey,Right,70,170,0.267,11,"(160, 170]"
535,Ken Walters,Right,73,180,0.231,11,"(170, 180]"
579,Tony Cloninger,Right,72,210,0.192,11,"(200, 210]"
834,Phil Linz,Right,73,180,0.235,11,"(170, 180]"
1039,Jimmie Schaffer,Right,69,170,0.223,11,"(160, 170]"
1081,Steve Nicosia,Right,70,185,0.248,11,"(180, 190]"
184,Garry Hancock,Left,72,175,0.247,12,"(170, 180]"
246,Jim Mason,Left,74,185,0.203,12,"(180, 190]"
256,Dick Phillips,Left,72,180,0.229,12,"(170, 180]"
400,Dan Briggs,Left,72,180,0.195,12,"(170, 180]"
542,Tim Corcoran,Left,71,175,0.27,12,"(170, 180]"
660,Rich Coggins,Left,68,170,0.265,12,"(160, 170]"
678,John Stephenson,Left,71,180,0.216,12,"(170, 180]"
679,Doug Clemens,Left,72,180,0.229,12,"(170, 180]"
1089,Larry Harlow,Left,74,185,0.248,12,"(180, 190]"
1138,Brian Asselstine,Left,73,175,0.254,12,"(170, 180]"
31,Tommie Reynolds,Right,74,190,0.226,12,"(180, 190]"
196,Larry Haney,Right,74,195,0.215,12,"(190, 200]"
231,Larry Cox,Right,70,178,0.221,12,"(170, 180]"
238,Ron Pruitt,Right,72,185,0.269,12,"(180, 190]"
311,Jackie Hernandez,Right,71,165,0.208,12,"(160, 170]"
494,Alan Knicely,Right,72,190,0.213,12,"(180, 190]"
652,Tom Seaver,Right,73,195,0.154,12,"(190, 200]"
664,Kiko Garcia,Right,71,180,0.239,12,"(170, 180]"
868,Sonny Siebert,Right,75,190,0.173,12,"(180, 190]"
953,Bob Forsch,Right,76,200,0.213,12,"(190, 200]"
1002,Bobby Valentine,Right,70,189,0.26,12,"(180, 190]"
336,Ted Kubiak,Both,72,175,0.231,13,"(170, 180]"
486,Richie Scheinblum,Both,73,180,0.263,13,"(170, 180]"
1048,Vic Harris,Both,71,165,0.217,13,"(160, 170]"
414,Danny Goodwin,Left,73,195,0.236,13,"(190, 200]"
625,Mike Fiore,Left,72,175,0.227,13,"(170, 180]"
973,Steve Carlton,Left,76,210,0.201,13,"(200, 210]"
1113,Bob Burda,Left,71,174,0.224,13,"(170, 180]"
1153,Tom O'Malley,Left,72,180,0.256,13,"(170, 180]"
345,Gary Woods,Right,74,185,0.243,13,"(180, 190]"
406,Kevin Bell,Right,72,195,0.222,13,"(190, 200]"
450,Fergie Jenkins,Right,77,205,0.165,13,"(200, 210]"
463,Jim Anderson,Right,72,170,0.218,13,"(160, 170]"
510,Roberto Pena,Right,68,170,0.245,13,"(160, 170]"
524,Rafael Santana,Right,73,165,0.246,13,"(160, 170]"
529,Tommie Aaron,Right,75,190,0.229,13,"(180, 190]"
530,Steve Dillard,Right,73,180,0.243,13,"(170, 180]"
730,Tito Landrum,Right,71,175,0.249,13,"(170, 180]"
1102,Rick Joseph,Right,73,192,0.243,13,"(190, 200]"
482,Don Kessinger,Both,73,170,0.252,14,"(160, 170]"
677,Paul Popovich,Both,72,175,0.233,14,"(170, 180]"
1077,Darrel Chaney,Both,74,188,0.217,14,"(180, 190]"
163,Johnny Oates,Left,71,188,0.25,14,"(180, 190]"
236,Tim Harkness,Left,74,182,0.235,14,"(180, 190]"
419,John Hale,Left,74,195,0.201,14,"(190, 200]"
490,Bob Molinaro,Left,72,190,0.264,14,"(180, 190]"
607,Dane Iorg,Left,72,180,0.276,14,"(170, 180]"
643,Ken Retzer,Left,72,185,0.264,14,"(180, 190]"
1006,Ed Stroud,Left,71,180,0.237,14,"(170, 180]"
220,Vern Fuller,Right,73,170,0.232,14,"(160, 170]"
319,Mickey Klutts,Right,71,170,0.241,14,"(160, 170]"
564,Tom Veryzer,Right,73,175,0.241,14,"(170, 180]"
661,Phil Gagliano,Right,73,180,0.238,14,"(170, 180]"
686,Bob Uecker,Right,73,190,0.2,14,"(180, 190]"
731,Dave Edwards,Right,72,170,0.237,14,"(160, 170]"
773,Greg Pryor,Right,72,180,0.25,14,"(170, 180]"
1018,Ken Hubbs,Right,74,175,0.247,14,"(170, 180]"
1042,Rod Gilbreath,Right,74,180,0.248,14,"(170, 180]"
1062,Jim Beauchamp,Right,74,190,0.231,14,"(180, 190]"
1075,Bubba Morton,Right,70,175,0.267,14,"(170, 180]"
1132,Bill Plummer,Right,73,190,0.188,14,"(180, 190]"
541,Larry Bowa,Both,70,155,0.26,15,"(150, 160]"
1047,Gene Michael,Both,74,183,0.229,15,"(180, 190]"
725,Wayne Krenchicki,Left,73,180,0.266,15,"(170, 180]"
1010,Daryl Sconiers,Left,74,185,0.265,15,"(180, 190]"
15,Rick Wise,Right,73,180,0.195,15,"(170, 180]"
110,Ray Oyler,Right,71,165,0.175,15,"(160, 170]"
123,Dick Simpson,Right,76,176,0.207,15,"(170, 180]"
382,Dave Chalk,Right,70,175,0.252,15,"(170, 180]"
385,Danny Thompson,Right,72,183,0.248,15,"(180, 190]"
553,Jerry May,Right,74,190,0.234,15,"(180, 190]"
610,Doc Edwards,Right,74,215,0.238,15,"(210, 220]"
805,Don Leppert,Right,74,220,0.229,15,"(210, 220]"
478,Steve Huntz,Both,73,204,0.206,16,"(200, 210]"
855,Joe Wallis,Both,71,180,0.244,16,"(170, 180]"
3,Denny Doyle,Left,69,175,0.25,16,"(170, 180]"
370,Jim Nettles,Left,72,186,0.22,16,"(180, 190]"
592,Dave Marshall,Left,73,182,0.246,16,"(180, 190]"
923,Terry Francona,Left,73,190,0.274,16,"(180, 190]"
118,Wayne Comer,Right,70,175,0.229,16,"(170, 180]"
129,Dick Howser,Right,68,155,0.248,16,"(150, 160]"
429,Glenn Borgmann,Right,76,210,0.229,16,"(200, 210]"
467,Dick Billings,Right,73,195,0.227,16,"(190, 200]"
588,Ned Yost,Right,73,190,0.212,16,"(180, 190]"
1019,Pepe Mangual,Right,70,157,0.242,16,"(150, 160]"
1076,Ellie Rodriguez,Right,71,185,0.245,16,"(180, 190]"
109,Tony Scott,Both,72,164,0.249,17,"(160, 170]"
201,Billy Smith,Both,74,185,0.23,17,"(180, 190]"
735,Ron Roenicke,Both,72,180,0.238,17,"(170, 180]"
448,Ray Webster,Left,72,185,0.244,17,"(180, 190]"
702,Hosken Powell,Left,73,175,0.259,17,"(170, 180]"
53,Ted Ford,Right,70,180,0.219,17,"(170, 180]"
237,Rick Bosetti,Right,71,185,0.25,17,"(180, 190]"
475,Fernando Gonzalez,Right,70,165,0.235,17,"(160, 170]"
507,Rob Picciolo,Right,74,185,0.234,17,"(180, 190]"
581,Chuck Harrison,Right,70,185,0.238,17,"(180, 190]"
969,Doug Ault,Right,75,200,0.236,17,"(190, 200]"
976,Bob Brower,Right,71,185,0.242,17,"(180, 190]"
616,Rudy Law,Left,73,165,0.271,18,"(160, 170]"
1008,Harry Spilman,Left,73,180,0.237,18,"(170, 180]"
1087,Rick Leach,Left,73,180,0.268,18,"(170, 180]"
81,Hector Torres,Right,72,175,0.216,18,"(170, 180]"
86,Elliott Maddox,Right,71,180,0.261,18,"(170, 180]"
134,Willie Norwood,Right,72,185,0.242,18,"(180, 190]"
152,Johnny Jeter,Right,73,180,0.244,18,"(170, 180]"
372,Chris Cannizzaro,Right,72,190,0.235,18,"(180, 190]"
388,Doug Camilli,Right,71,195,0.199,18,"(190, 200]"
573,Jim Price,Right,72,192,0.214,18,"(190, 200]"
936,Bruce Benedict,Right,73,175,0.242,18,"(170, 180]"
342,Ron Hodges,Left,73,185,0.24,19,"(180, 190]"
709,Jim Holt,Left,72,180,0.265,19,"(170, 180]"
721,Bill Voss,Left,74,160,0.227,19,"(150, 160]"
366,Gary Allenson,Right,71,185,0.221,19,"(180, 190]"
557,Bobby Clark,Right,72,190,0.239,19,"(180, 190]"
784,Cap Peterson,Right,74,195,0.23,19,"(190, 200]"
1120,Alan Bannister,Right,71,170,0.27,19,"(160, 170]"
440,Billy North,Both,71,185,0.261,20,"(180, 190]"
188,Chuck Hiller,Left,71,170,0.243,20,"(160, 170]"
601,Bob Jones,Left,74,195,0.221,20,"(190, 200]"
691,Thad Bosley,Left,75,175,0.272,20,"(170, 180]"
1129,Doug Frobel,Left,76,196,0.201,20,"(190, 200]"
84,Steve Lombardozzi,Right,72,175,0.233,20,"(170, 180]"
127,Steve Swisher,Right,74,205,0.216,20,"(200, 210]"
306,Mark Belanger,Right,73,170,0.228,20,"(160, 170]"
365,Carmen Fanzone,Right,72,200,0.224,20,"(190, 200]"
409,Larvell Blanks,Right,68,167,0.253,20,"(160, 170]"
427,Ike Brown,Right,72,190,0.256,20,"(180, 190]"
554,Rich McKinney,Right,71,185,0.225,20,"(180, 190]"
609,Fran Healy,Right,77,220,0.25,20,"(210, 220]"
775,Dave Nelson,Right,70,160,0.244,20,"(150, 160]"
816,Rick Renick,Right,72,188,0.221,20,"(180, 190]"
818,Dave Campbell,Right,73,180,0.213,20,"(170, 180]"
844,Ron Washington,Right,71,155,0.261,20,"(150, 160]"
980,Garth Iorg,Right,71,170,0.258,20,"(160, 170]"
140,Dave McKay,Both,73,195,0.229,21,"(190, 200]"
240,Jerry White,Both,70,164,0.253,21,"(160, 170]"
744,Biff Pocoroba,Both,70,175,0.257,21,"(170, 180]"
68,Tom Satriano,Left,73,185,0.225,21,"(180, 190]"
641,Jerry Narron,Left,75,205,0.211,21,"(200, 210]"
1078,Dick Nen,Left,74,200,0.224,21,"(190, 200]"
36,Ivan DeJesus,Right,71,175,0.254,21,"(170, 180]"
190,Dave Cash,Right,71,170,0.283,21,"(160, 170]"
454,Bobby Mitchell,Right,75,185,0.235,21,"(180, 190]"
719,Jim Wohlford,Right,71,175,0.26,21,"(170, 180]"
880,John Wathan,Right,74,205,0.262,21,"(200, 210]"
926,Joe Gaines,Right,73,190,0.241,21,"(180, 190]"
1031,Hal Breeden,Right,74,200,0.243,21,"(190, 200]"
122,Johnny Lewis,Left,73,189,0.227,22,"(180, 190]"
341,Tom Hutton,Left,71,180,0.248,22,"(170, 180]"
35,Jerry Buchek,Right,71,185,0.22,22,"(180, 190]"
241,Angel Mangual,Right,70,178,0.245,22,"(170, 180]"
279,Roger Freed,Right,72,190,0.245,22,"(180, 190]"
519,Jack Hiatt,Right,74,190,0.251,22,"(180, 190]"
520,Nelson Mathews,Right,76,195,0.223,22,"(190, 200]"
574,Felix Millan,Right,71,172,0.279,22,"(170, 180]"
738,Johnnie LeMaster,Right,74,165,0.222,22,"(160, 170]"
852,Tom Egan,Right,76,218,0.2,22,"(210, 220]"
941,Reid Nichols,Right,71,165,0.266,22,"(160, 170]"
1056,Marty Perez,Right,71,160,0.246,22,"(150, 160]"
1093,Glenn Beckert,Right,73,190,0.283,22,"(180, 190]"
913,Julio Cruz,Both,69,165,0.237,23,"(160, 170]"
861,Lyman Bostock,Left,73,180,0.311,23,"(170, 180]"
204,Chuck Schilling,Right,70,160,0.239,23,"(150, 160]"
276,Duane Josephson,Right,72,190,0.258,23,"(180, 190]"
346,Bob Montgomery,Right,73,195,0.258,23,"(190, 200]"
399,Ted Sizemore,Right,70,165,0.262,23,"(160, 170]"
511,Bob Dernier,Right,72,160,0.255,23,"(150, 160]"
572,Alex Trevino,Right,70,165,0.249,23,"(160, 170]"
644,Mike Brown,Right,74,195,0.265,23,"(190, 200]"
920,Glenn Hoffman,Right,73,175,0.242,23,"(170, 180]"
1022,Steve Ontiveros,Both,72,185,0.274,24,"(180, 190]"
213,Steve Whitaker,Left,72,180,0.23,24,"(170, 180]"
277,Duane Walker,Left,72,185,0.229,24,"(180, 190]"
881,Hal King,Left,73,200,0.214,24,"(190, 200]"
909,Norm Miller,Left,70,185,0.238,24,"(180, 190]"
912,Bob Chance,Left,74,196,0.261,24,"(190, 200]"
66,Syd O'Brien,Right,73,185,0.23,24,"(180, 190]"
242,Ken Gerhart,Right,72,190,0.221,24,"(180, 190]"
546,Gary Gray,Right,72,187,0.24,24,"(180, 190]"
717,Eddie Leon,Right,72,170,0.236,24,"(160, 170]"
1115,Gary Sutherland,Right,72,185,0.243,24,"(180, 190]"
183,Jake Gibbs,Left,72,180,0.233,25,"(170, 180]"
1128,Gail Hopkins,Left,70,198,0.266,25,"(190, 200]"
259,Mike de la Hoz,Right,71,175,0.251,25,"(170, 180]"
464,Lenn Sakata,Right,69,160,0.23,25,"(150, 160]"
493,Tim Foli,Right,72,179,0.251,25,"(170, 180]"
760,Curt Motton,Right,68,164,0.213,25,"(160, 170]"
791,Bill Nahorodny,Right,74,200,0.241,25,"(190, 200]"
1025,Jerry Moses,Right,75,210,0.251,25,"(200, 210]"
1043,Mark Brouhard,Right,73,210,0.259,25,"(200, 210]"
340,Bobby Brown,Both,74,190,0.245,26,"(180, 190]"
214,Manny Jimenez,Left,73,185,0.272,26,"(180, 190]"
613,Gene Richards,Left,72,175,0.29,26,"(170, 180]"
1114,Jesse Gonder,Left,70,180,0.251,26,"(170, 180]"
243,Mike Hershberger,Right,70,175,0.252,26,"(170, 180]"
390,Bruce Bochy,Right,75,205,0.239,26,"(200, 210]"
496,Jose Morales,Right,71,187,0.287,26,"(180, 190]"
631,Ron Woods,Right,70,168,0.233,26,"(160, 170]"
694,John Boccabella,Right,73,195,0.219,26,"(190, 200]"
1116,Bob Coluccio,Right,71,183,0.22,26,"(180, 190]"
1151,Frank Duffy,Right,73,180,0.232,26,"(170, 180]"
229,Horace Clarke,Both,69,170,0.256,27,"(160, 170]"
313,U L Washington,Both,71,175,0.251,27,"(170, 180]"
517,Chris Bando,Both,72,195,0.227,27,"(190, 200]"
772,Len Randle,Both,70,169,0.257,27,"(160, 170]"
2,Joe Nolan,Left,71,175,0.263,27,"(170, 180]"
352,George Vukovich,Left,72,198,0.268,27,"(190, 200]"
544,Pete LaCock,Left,74,200,0.257,27,"(190, 200]"
774,Jim Traber,Left,72,194,0.227,27,"(190, 200]"
64,Kurt Bevacqua,Right,72,180,0.236,27,"(170, 180]"
274,Mike Tyson,Right,69,170,0.241,27,"(160, 170]"
449,Bob Kearney,Right,72,190,0.233,27,"(180, 190]"
485,Dick Davis,Right,75,190,0.265,27,"(180, 190]"
662,Jerry McNertney,Right,72,180,0.237,27,"(170, 180]"
687,Felix Torres,Right,71,165,0.254,27,"(160, 170]"
883,Andres Mora,Right,72,180,0.223,27,"(170, 180]"
1139,Rick Miller,Left,72,175,0.269,28,"(170, 180]"
5,Mike Ryan,Right,74,205,0.193,28,"(200, 210]"
25,Danny Walton,Right,72,195,0.223,28,"(190, 200]"
335,Coco Laboy,Right,70,165,0.233,28,"(160, 170]"
845,Billy Grabarkewitz,Right,70,165,0.236,28,"(160, 170]"
1036,Mike Anderson,Right,74,200,0.246,28,"(190, 200]"
253,Paul Householder,Both,72,180,0.236,29,"(170, 180]"
373,Larry Biittner,Left,74,205,0.273,29,"(200, 210]"
310,Vic Correll,Right,70,185,0.229,29,"(180, 190]"
562,Charlie James,Right,73,195,0.255,29,"(190, 200]"
997,Rey Quinones,Right,71,160,0.243,29,"(150, 160]"
1038,Joe Charboneau,Right,74,205,0.266,29,"(200, 210]"
525,Jerry Hairston,Both,70,170,0.258,30,"(160, 170]"
149,Jack Brohamer,Left,70,165,0.245,30,"(160, 170]"
150,Von Joshua,Left,70,170,0.273,30,"(160, 170]"
317,Ed Goodson,Left,75,180,0.26,30,"(170, 180]"
580,Jim Gosger,Left,71,185,0.226,30,"(180, 190]"
745,Len Matuszek,Left,74,190,0.234,30,"(180, 190]"
1117,Dave Rader,Left,71,165,0.257,30,"(160, 170]"
80,Byron Browne,Right,74,190,0.236,30,"(180, 190]"
216,Duffy Dyer,Right,72,187,0.221,30,"(180, 190]"
444,Steve Brye,Right,72,190,0.258,30,"(180, 190]"
1083,Pete Mackanin,Right,74,190,0.226,30,"(180, 190]"
1123,Bobby Wine,Right,73,187,0.215,30,"(180, 190]"
1133,Buck Rodgers,Both,74,190,0.232,31,"(180, 190]"
124,Ken Boswell,Left,72,170,0.248,31,"(160, 170]"
547,Matty Alou,Left,69,160,0.307,31,"(150, 160]"
747,Joe Lefebvre,Left,70,170,0.258,31,"(160, 170]"
1020,Leron Lee,Left,72,196,0.25,31,"(190, 200]"
172,Chico Salmon,Right,70,160,0.249,31,"(150, 160]"
297,Dave Engle,Right,75,210,0.262,31,"(200, 210]"
492,Mike Diaz,Right,74,195,0.247,31,"(190, 200]"
766,Carl Warwick,Right,70,170,0.248,31,"(160, 170]"
835,Manny Mota,Right,70,160,0.304,31,"(150, 160]"
940,David Green,Right,75,170,0.268,31,"(160, 170]"
1035,Fred Kendall,Right,73,185,0.234,31,"(180, 190]"
119,Dave Collins,Both,71,175,0.272,32,"(170, 180]"
555,Clint Hurdle,Left,75,195,0.259,32,"(190, 200]"
1086,Rowland Office,Left,72,170,0.259,32,"(160, 170]"
436,Jesus Alou,Right,74,190,0.28,32,"(180, 190]"
456,Mickey Brantley,Right,70,180,0.259,32,"(170, 180]"
707,Joe Lis,Right,72,175,0.233,32,"(170, 180]"
1125,John Kennedy,Right,72,185,0.225,32,"(180, 190]"
589,Bob Stinson,Both,71,180,0.25,33,"(170, 180]"
291,Terry Whitfield,Left,73,197,0.281,33,"(190, 200]"
885,Ed Ott,Left,70,190,0.259,33,"(180, 190]"
966,Al Luplow,Left,70,175,0.235,33,"(170, 180]"
82,Walt Williams,Right,66,165,0.27,33,"(160, 170]"
567,Jim Essian,Right,74,195,0.244,33,"(190, 200]"
978,Ivan Murrell,Right,74,195,0.236,33,"(190, 200]"
670,Glenn Adams,Left,73,180,0.28,34,"(170, 180]"
858,Mike Cubbage,Left,72,180,0.258,34,"(170, 180]"
169,Marc Hill,Right,75,205,0.223,34,"(200, 210]"
368,Mike Vail,Right,73,180,0.279,34,"(170, 180]"
851,Todd Cruz,Right,72,175,0.22,34,"(170, 180]"
875,Tommy Helms,Right,70,165,0.269,34,"(160, 170]"
1082,Ted Savage,Right,73,185,0.233,34,"(180, 190]"
91,Rusty Torres,Both,70,175,0.212,35,"(170, 180]"
673,R.J. Reynolds,Both,72,190,0.267,35,"(180, 190]"
615,Al Woods,Left,75,190,0.271,35,"(180, 190]"
974,Jake Wood,Right,73,163,0.25,35,"(160, 170]"
61,Bump Wills,Both,69,172,0.266,36,"(170, 180]"
262,Larry Stahl,Left,72,175,0.232,36,"(170, 180]"
471,Vic Davalillo,Left,67,150,0.279,36,"(140, 150]"
785,Ted Uhlaender,Left,74,190,0.263,36,"(180, 190]"
647,Terry Harper,Right,76,195,0.253,36,"(190, 200]"
862,Damaso Garcia,Right,73,165,0.283,36,"(160, 170]"
933,Charlie Moore,Right,71,180,0.261,36,"(170, 180]"
1104,Bill Almon,Right,75,180,0.254,36,"(170, 180]"
87,Omar Moreno,Left,74,180,0.252,37,"(170, 180]"
948,Len Gabrielson,Left,76,210,0.253,37,"(200, 210]"
421,Pedro Garcia,Right,70,175,0.22,37,"(170, 180]"
600,Dave Hostetler,Right,76,215,0.229,37,"(210, 220]"
769,Luis Aguayo,Right,69,173,0.236,37,"(170, 180]"
144,Benny Ayala,Right,73,185,0.251,38,"(180, 190]"
179,Chris Brown,Right,72,185,0.269,38,"(180, 190]"
593,Mickey Hatcher,Right,74,200,0.28,38,"(190, 200]"
640,Brant Alyea,Right,75,215,0.247,38,"(210, 220]"
1144,Floyd Rayford,Right,70,190,0.244,38,"(180, 190]"
504,Rob Wilfong,Left,73,180,0.248,39,"(170, 180]"
120,Ed Spiezio,Right,71,180,0.238,39,"(170, 180]"
307,Ron Hunt,Right,72,186,0.273,39,"(180, 190]"
442,Frank Fernandez,Right,72,185,0.199,39,"(180, 190]"
459,Hector Cruz,Right,71,170,0.225,39,"(160, 170]"
743,Wayne Nordhagen,Right,74,205,0.282,39,"(200, 210]"
1060,Jerry Grote,Right,70,185,0.252,39,"(180, 190]"
483,Joe Hague,Left,72,195,0.239,40,"(190, 200]"
585,Marvell Wynne,Left,71,175,0.247,40,"(170, 180]"
191,Bucky Dent,Right,69,170,0.247,40,"(160, 170]"
197,Billy Conigliaro,Right,72,180,0.256,40,"(170, 180]"
200,Billy Cowan,Right,72,170,0.236,40,"(160, 170]"
596,John Orsino,Right,75,215,0.249,40,"(210, 220]"
648,Jerry Royster,Right,72,165,0.249,40,"(160, 170]"
77,Walt Bond,Left,79,228,0.256,41,"(220, 230]"
289,Billy Bryan,Left,76,200,0.216,41,"(190, 200]"
550,Dalton Jones,Left,73,180,0.235,41,"(170, 180]"
551,Rennie Stennett,Right,71,160,0.274,41,"(150, 160]"
704,Dave Stapleton,Right,73,178,0.271,41,"(170, 180]"
842,John Castino,Right,71,175,0.278,41,"(170, 180]"
1017,Freddie Patek,Right,65,148,0.242,41,"(140, 150]"
669,Ron Oester,Both,74,185,0.265,42,"(180, 190]"
768,George Wright,Both,71,180,0.245,42,"(170, 180]"
151,Eddie Milner,Left,71,173,0.253,42,"(170, 180]"
228,Terry Crowley,Left,72,180,0.25,42,"(170, 180]"
354,Craig Reynolds,Left,73,175,0.256,42,"(170, 180]"
257,Andres Thomas,Right,73,170,0.234,42,"(160, 170]"
425,Derrel Thomas,Both,72,160,0.249,43,"(150, 160]"
233,Phil Roof,Right,74,190,0.215,43,"(180, 190]"
426,Art Howe,Right,74,190,0.26,43,"(180, 190]"
1084,Rich Dauer,Right,72,180,0.257,43,"(170, 180]"
161,Darryl Motley,Right,69,196,0.243,44,"(190, 200]"
637,Bob Johnson,Right,70,175,0.272,44,"(170, 180]"
654,Bill Stein,Right,70,170,0.267,44,"(160, 170]"
1064,Tito Fuentes,Both,71,175,0.268,45,"(170, 180]"
821,Jerry Turner,Left,69,180,0.257,45,"(170, 180]"
767,Sam Bowens,Right,73,188,0.223,45,"(180, 190]"
1029,Roy Foster,Right,72,185,0.253,45,"(180, 190]"
248,Willie Smith,Left,72,182,0.248,46,"(180, 190]"
72,Cesar Tovar,Right,69,155,0.278,46,"(150, 160]"
92,John Stearns,Right,72,185,0.26,46,"(180, 190]"
914,Bill Sample,Right,69,175,0.272,46,"(170, 180]"
917,Craig Kusick,Right,75,210,0.235,46,"(200, 210]"
1073,Bill Russell,Right,72,175,0.263,46,"(170, 180]"
93,Larry Brown,Right,70,160,0.233,47,"(150, 160]"
642,Lou Johnson,Right,71,170,0.258,48,"(160, 170]"
174,Andy Etchebarren,Right,73,190,0.235,49,"(180, 190]"
206,Dave Roberts,Right,75,215,0.239,49,"(210, 220]"
762,Dale Berra,Right,72,180,0.236,49,"(170, 180]"
312,Tony Solaita,Left,72,210,0.255,50,"(200, 210]"
85,Joe Azcue,Right,72,190,0.252,50,"(180, 190]"
225,Paul Casanova,Right,76,180,0.225,50,"(170, 180]"
796,Rick Burleson,Right,70,165,0.273,50,"(160, 170]"
288,Cesar Geronimo,Left,72,165,0.258,51,"(160, 170]"
1012,Al Ferrara,Right,73,200,0.259,51,"(190, 200]"
516,Rich Reese,Left,75,185,0.253,52,"(180, 190]"
688,Steve Braun,Left,70,180,0.271,52,"(170, 180]"
983,Ron Blomberg,Left,73,195,0.293,52,"(190, 200]"
701,Buddy Bradford,Right,71,170,0.226,52,"(160, 170]"
435,Johnny Ray,Both,71,170,0.29,53,"(160, 170]"
491,Mike Hegan,Left,73,188,0.242,53,"(180, 190]"
180,Al Bumbry,Left,68,170,0.281,54,"(160, 170]"
999,Champ Summers,Left,74,205,0.255,54,"(200, 210]"
156,Cookie Rojas,Right,70,160,0.263,54,"(150, 160]"
957,Clay Dalrymple,Left,72,190,0.233,55,"(180, 190]"
398,Gene Alley,Right,70,160,0.254,55,"(150, 160]"
891,Gary Alexander,Right,74,195,0.23,55,"(190, 200]"
284,Rick Manning,Left,73,180,0.257,56,"(170, 180]"
339,Bobby Knoop,Right,73,170,0.236,56,"(160, 170]"
445,Ron Jackson,Right,72,200,0.259,56,"(190, 200]"
651,Barry Bonnell,Right,75,190,0.272,56,"(180, 190]"
729,Paul Schaal,Right,71,165,0.244,57,"(160, 170]"
884,Barry Foote,Right,75,205,0.23,57,"(200, 210]"
17,Buck Martinez,Right,70,190,0.225,58,"(180, 190]"
175,Ken Berry,Right,72,175,0.255,58,"(170, 180]"
316,Joe Foy,Right,72,215,0.248,58,"(210, 220]"
666,Bill Sudakis,Both,73,190,0.234,59,"(180, 190]"
324,Adolfo Phillips,Right,73,175,0.247,59,"(170, 180]"
1072,Ron LeFlore,Right,72,200,0.288,59,"(190, 200]"
